epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9338,2.6562,6.16842,1.7349,0.23773,0.54645,0.3097,0.10714,2.33968,9.29634,1.56807,0.000464425,0.000464425,0.000464425
2,49.4568,2.4904,4.80333,1.70567,0.97735,0.11111,0.13959,0.0556,2.55332,3.6301,1.6441,0.000847623,0.000847623,0.000847623
3,72.1751,2.78532,4.58224,1.62171,0.81488,0.19444,0.22277,0.08349,2.85197,2.9987,1.68072,0.00113651,0.00113651,0.00113651
4,94.8937,2.45153,3.38783,1.4984,0.42849,0.36158,0.33023,0.1481,2.26072,2.18632,1.50594,0.00100459,0.00100459,0.00100459
5,117.558,2.32679,3.00276,1.61822,0.41003,0.57166,0.44108,0.18937,2.20801,2.97745,1.49385,0.000863116,0.000863116,0.000863116
6,140.287,2.35212,3.00001,1.59538,0.53754,0.43065,0.46285,0.20928,2.17646,2.37296,1.48286,0.000721645,0.000721645,0.000721645
7,162.703,2.3212,2.46175,1.53153,0.6461,0.41293,0.45534,0.19696,2.15233,1.86328,1.47167,0.000580174,0.000580174,0.000580174
8,185.761,2.21134,2.18234,1.52331,0.69987,0.48436,0.48449,0.21193,2.14929,1.49684,1.46511,0.000438703,0.000438703,0.000438703
9,208.128,2.24747,1.98485,1.53507,0.6947,0.52496,0.5429,0.2295,2.07641,1.29255,1.43754,0.000297232,0.000297232,0.000297232
10,231.181,2.22966,1.84333,1.52994,0.74498,0.5485,0.60678,0.25098,2.07549,1.26912,1.43792,0.000155761,0.000155761,0.000155761
